item_id,domain,group,standards,item_information,prompt,option_a,option_b,option_c,correct,stem_graphic,answer_choice_a_graphic,answer_choice_b_graphic,answer_choice_c_graphic,location,stem_sm,option_a_sm,option_b_sm,option_c_sm,audio_intro,audio_stem,audio_a,audio_b,audio_c,x2014_15,x2015_16,x2016_17,x2017_18,x2018_19,diff15,diff16,diff17,diff18
S05ESS1.1H14,NA,5,S05ESS1.1,"H - Here are three pictures. (Point to answer choices.) Why is the Sun brighter than other stars: the Sun is closer to the Earth, other stars are closer to the Earth, or other stars are bigger?",Why is the Sun brighter than other stars?,The Sun is closer to the Earth,Other stars are closer to the Earth,Other stars are bigger than the Sun,a,Stars_Sun_Earth3.ai,Shadow9.ai,Sun9.ai,Sun10.ai,Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,OI,OI,NA,NA,0.66,0.66,0.66,NA
S05ESS1.1H15,NA,5,S05ESS1.1,"H - Here are three pictures. (Point to answer choices.)  Why is the Sun brighter than other stars during the day: the Earth is closer to other stars, the Earth is between the Sun and stars, or the Earth is closer to the Sun?",Why is the Sun brighter than other stars during the day?,the Earth is closer to other stars,the Earth is between the Sun and stars,the Earth is closer to the Sun,c,NA,Stars_Sun_Earth4.ai,Stars_Sun_Earth5.ai,Stars_Sun_Earth6.ai,Astronomy,NA,graphic + word,graphic + word,graphic + word,Science_G5_S05ESS1.1H15_intro.mp3,Science_G5_S05ESS1.1H15_stem.mp3,Science_G5_S05ESS1.1H15_a.mp3,Science_G5_S05ESS1.1H15_b.mp3,Science_G5_S05ESS1.1H15_c.mp3,NA,NA,NA,FT,NA,NA,NA,NA,1.7812
S05ESS1.1H16,NA,5,S05ESS1.1,"H - Here is the Earth, Moon, Sun and stars. (Point to answer choices.)Which is both the brightest and closest object to the Earth: stars, the Sun, or the Moon?",Which is both the brightest and closest object to the Earth?,stars,Sun,Moon,b,Stars_Sun_Earth11.ai,Stars2.ai,Sun1.ai,Moon3.ai,Astronomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,1.46,NA
S05ESS1.1H23,NA,5,S05ESS1.1,"H - Here is the Earth, Sun and stars.  (Point to each as you read them.)  Why are other stars less bright than the Sun: they are smaller than the Sun, farther from Earth than the Sun, or closer to Earth than the Sun?",Why are other stars less bright than the Sun?,smaller than Sun,farther from Earth,closer to Earth,b,Stars_Sun_Earth7.ai,NA,NA,NA,Astronomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS1.1H24,NA,5,S05ESS1.1,"H - Here is the Earth, Sun and a star. (Point to each as you read them.)  Why does the Sun seem brighter than this star on Earth: is it bigger, smaller, or closer?",Why does the Sun seem brighter than this star on Earth?,bigger,smaller,closer,c,Stars_Sun_Earth8.ai,NA,NA,NA,Astronomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,PT,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS1.1H30,ESS - FT,5,S05ESS1.1,"H - Here are three planets and the Sun. (Point to answer choices.) Which planet gets the most sunlight: Earth, Venus, or Mercury?",Which planet gets the most sunlight?,Earth,Venus,Mercury,c,Solar_System2.ai,Earth3.ai,Planet4.ai,Planet2.ai,Astronomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,2.57,NA,NA
S05ESS1.1H31,NA,5,S05ESS1.1,"H - Here is the Sun and Earth. (Point to prompt.) Which explains why the Sun is brighter than other stars from Earth: it is bigger, closer, or smaller than other stars?",Which explains why the Sun is brighter than other stars from Earth?,bigger,closer,smaller,b,Stars_Sun_Earth9.ai,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA
S05ESS1.1H32,NA,5,S05ESS1.1,"H - Here are the the Sun, Earth, Moon, and some stars. (Point to each in prompt.) Which is furthest from the Earth: the Sun, other stars, or the Moon?",Which is furthest from the Earth?,Sun,stars,Moon,b,Stars_Sun_Earth10.ai,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS1.1H7,NA,5,S05ESS1.1,"H - Here are some stars, the Sun and the Earth (Point to prompt.)  Why is the Sun brighter than other stars: it is bigger than other stars, it is bigger than the Earth, or it is closer to the Earth?",Why is the Sun brighter than other stars?,Bigger than other stars.,Bigger than the Earth.,Closer to the Earth.,c,Stars_Sun_Earth1.ai,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS1.1H8,ESS - OI,5,S05ESS1.1,"H - The Sun is the closest star to the Earth. (Point to Sun.) Compared to other stars, which is the Sun: brighter, darker, or greener?","The Sun is the closest star to the Earth. Compared to other stars, which is the Sun?",brighter,darker,greener,a,Stars_Sun_Earth2.ai,NA,NA,NA,NA,prompt  + graphic,graphic + word,graphic + word,graphic + word,Science_G5_S05ESS1.1H8_intro.mp3,Science_G5_S05ESS1.1H8_stem.mp3,Science_G5_S05ESS1.1H8_a.mp3,Science_G5_S05ESS1.1H8_b.mp3,Science_G5_S05ESS1.1H8_c.mp3,FT,OI,OI,OI,NA,0.98,0.98,0.98,0.98
