item_id,group,standards,item_information,tablet_student_materials_prompt,prompt,tablet_writing_scoring_instructions,option_a,option_b,option_c,correct,brt_response,stem_graphic,answer_choice_a_graphic,answer_choice_b_graphic,answer_choice_c_graphic,location,stem_sm,option_a_sm,option_b_sm,option_c_sm,audio_intro,audio_stem,audio_a,audio_b,audio_c,x2014_15,x2015_16,x2016_17,x2017_18,x2018_19,diff15,diff16,diff17,diff18
E06LA1H09,6,E06LA1,"H - Here are three words. (Point to each.) Mitt gave himself a pat on the back. (Point to sentence.) What word should go in the blank: himself, anybody, or nothing?",NA,Mitt gave ____ a pat on the back. [prgrph] What word should go in the blank?,NA,himself,anybody,nothing,a,No changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
E06LA1H10,6,E06LA1,"H - Here are three words. (Point to each.) You can have either the apple or the carrot. (Point to sentence.) What word should go in the blank: anyone, either, or itself?","Here are three words. [highlight answer options] You can have either the apple or the carrot. [highlight sentence] What word should go in the blank: anyone, either, or itself?",You can have ____ the apple or the carrot. [prgrph] What word should go in the blank?,NA,anyone,either,itself,b,No changes.,NA,NA,NA,NA,NA,prompt (SM),word only,word only,word only,ELA_G6_E06LA1H10_intro.mp3,ELA_G6_E06LA1H10_stem.mp3,ELA_G6_E06LA1H10_a.mp3,ELA_G6_E06LA1H10_b.mp3,ELA_G6_E06LA1H10_c.mp3,NA,NA,FT,OI,NA,NA,NA,2.29,2.29
E06LA1H11,6,E06LA1,"H - Here are three words. (Point to each.) Nobody wants to take the lost puppy home. (Point to sentence.) What word should go in the blank: Several, Those, or Nobody?","Here are three words. [highlight answer options] Nobody wants to take the lost puppy home. [highlight sentence] What word should go in the blank: Several, Those, or Nobody?",____ wants to take the lost puppy home. [prgrph] What word should go in the blank?,NA,Several,Those,Nobody,c,No changes.,NA,NA,NA,NA,NA,prompt (SM),word only,word only,word only,ELA_G6_E06LA1H11_intro.mp3,ELA_G6_E06LA1H11_stem.mp3,ELA_G6_E06LA1H11_a.mp3,ELA_G6_E06LA1H11_b.mp3,ELA_G6_E06LA1H11_c.mp3,NA,NA,NA,FT,NA,NA,NA,NA,1.1793
E06LA1H12,6,E06LA1,"H - Here are three words. (Point to each.) Someone brought a delicious fruit salad to the picnic. (Point to sentence.) What word should go in the blank: Someone, Whoever, or Neither?",NA,____ brought a delicious fruit salad to the picnic. [prgrph] What word should go in the blank?,NA,Someone,Whoever,Neither,a,No changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA
E06LA1L01,6,E06LA1,L - Here are three pictures with words. (Point to each.) They are eating a pizza.  (Point to sentence.) Which word is they?,NA,____ are eating a pizza. [prgrph] Which word is they?,NA,She,They,He,b,Enlarged the picture of two people (They).,NA,Girl_Smiling4.ai,Boy_Girl1.ai,Boy2.ai,People,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06LA1L02,6,E06LA1,L - Here are three pictures with words. (Point to each.) It's her turn to bat. (Point to sentence.) Which word is her?,NA,It's ___ turn to bat. [prgrph] Which word is her?,NA,their,it,her,c,No changes.,NA,Boys2.ai,Dog2.ai,Girl2.ai,People/Animals,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
E06LA1L03,6,E06LA1,L - Here are three pictures with words. (Point to each.) Both shoes are on Bob's feet. (Point to sentence.) Which word is both?,NA,____ shoes are on Bob's feet. [prgrph] Which word is both?,NA,Both,One,No,a,Do not use item.,NA,Shoe6.ai,Shoe3.ai,Foot1.ai,Clothing/People,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA,NA
E06LA1L04,6,E06LA1,L - Here are three pictures with words. (Point to each.) Kali gave us a car ride.  (Point to sentence.) Which word is us?,NA,Kali gave ____ a car ride. [prgrph] Which word is us?,NA,I,us,her,b,Changed the name Kita to Kali.,NA,Boy4.ai,Girl_Boy3.ai,Girl_Smiling2.ai,People,NA,NA,NA,NA,NA,NA,NA,NA,NA,PT,NA,NA,NA,NA,NA,NA,NA,NA
E06LA1M05,6,E06LA1,"M - Here are three words. (Point to each.) They were at the park today. (Point to sentence.) What word should go in the blank: She, He, or They?","Here are three words. [highlight answer options] They were at the park today. [highlight sentence] What word should go in the blank: She, He, or They?",____ were at the park today. [prgrph] What should go in the blank?,NA,She,He,They,c,Changed question to make the target word a pronoun.,NA,NA,NA,NA,NA,prompt (SM),word only,word only,word only,ELA_G6_E06LA1M05_intro.mp3,ELA_G6_E06LA1M05_stem.mp3,ELA_G6_E06LA1M05_a.mp3,ELA_G6_E06LA1M05_b.mp3,ELA_G6_E06LA1M05_c.mp3,FT,OI,OI,OI,NA,1.27809824400683,1.28,1.28,1.28
E06LA1M06,6,E06LA1,"M - Here are three words. (Point to each.) Grandpa gave me this yesterday. (Point to sentence.) What word should go in the blank: this, we, or each?",NA,Grandpa gave me ____ yesterday. [prgrph] What word should go in the blank?,NA,this,we,each,a,Changed question and a distractor to what reviewer 1 suggested.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
